Name of Clinic,Address,Email,Phone,Services
Allsports Podiatry Albany Creek,"Albany Creek Leisure Centre, Cnr Old Northern Rd & Explorer Drive, Albany Creek QLD 4035",albanycreek@allsportspodiatry.com.au,07 3264 5159,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, Seniors Footcare"
Allsports Podiatry Aspley,"2/1370 Gympie Road, Aspley QLD 4034",aspley@allsportspodiatry.com.au,07 3378 0135,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
Allsports Podiatry Calamvale,"Cnr Kameruka Street & Beaudesert Road, Calamvale QLD 4116",calamvale@allsportspodiatry.com.au,07 3272 5230,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot), Seniors Footcare"
Allsports Podiatry Camp Hill,"448 Old Cleveland Road, Camp Hill QLD 4152",camphill@allsportspodiatry.com.au,07 3395 3777,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot), Seniors Footcare"
Allsports Podiatry Forest Lake,"The Tower Medical Centre, 241 Forest Lake Boulevard, Forest Lake QLD 4078",forestlake@allsportspodiatry.com.au,07 3278 8544,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
Allsports Podiatry Hawthorne,"Brisbane Sports & Exercise Medicine Specialists, 87 Riding Road, Hawthorne QLD 4171",hawthorne@allsportspodiatry.com.au,(07) 3899 0659,"Sports Podiatry, Digital Gait Analysis, Custom Orthotics, Paediatric Assessments, Footwear Assessments"
Allsports Podiatry Indooroopilly,"56 Coonan St (Cnr of Keating & Coonan St), Indooroopilly QLD 4068",indooroopilly@allsportspodiatry.com.au,07 3878 9011,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot), Seniors Footcare"
Allsports Podiatry Kangaroo Point,"Level 2, Suite 5, 22 Baildon Street, Kangaroo Point QLD 4169",kangaroopoint@allsportspodiatry.com.au,07 3392 3020,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
Allsports Podiatry Red Hill,"The Red Hill Centre, 11/152 Musgrave Road, Red Hill QLD 4059",redhill@allsportspodiatry.com.au,07 3217 5955,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
Allsports Podiatry The Gap,"970 Waterworks Rd, The Gap QLD 4061",thegap@allsportspodiatry.com.au,07 3300 6011,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
Allsports Podiatry Toowong,"Ground Floor, 80 Jephson Street, Toowong QLD 4066",toowong@allsportspodiatry.com.au,07 3871 1799,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
Allsports Podiatry Wavell Heights,"1A/159 Hamilton Road, Wavell Heights QLD 4012",wavellheights@allsportspodiatry.com.au,07 3256 9676,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
Anytime Physio & Podiatry Newstead,"Shop B6 / 76 Skyring Terrace, Gasworks Plaza, Newstead QLD 4006",newstead@anytimephysio.com.au,07 3733 0944,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare"
My FootDr Brisbane CBD,"Ground Level, 324 Queen Street, Brisbane QLD 4000",brisbanecbd@myfootdr.com.au,07 3634 5800,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Fungal Nail Infection Laser Treatment, Diabetes and Footcare, Custom Footwear, NDIS, CAM Walker (Moon Boot), Cosmetic Nail Restoration, Footwear, Cryotherapy For Plantar Warts"
My FootDr Brookside,"Brookside Shopping Centre, Shop 118, 159 Osborne Rd, Mitchelton QLD 4053",brookside@myfootdr.com.au,07 3355 1256,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Fungal Nail Infection Laser Treatment, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot), Footwear"
My FootDr Brookwater,"17 / L1 Brookwater Retail Village, 2 Tournament Drive, Brookwater QLD 4300",brookwater@myfootdr.com.au,07 3432 8500,"Supramalleolar Orthotics (SMOs), Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Fungal Nail Infection Laser Treatment, Diabetes and Footcare, Custom Footwear, NDIS, CAM Walker (Moon Boot), Shockwave Therapy, Footwear"
My FootDr Camp Hill,"50 Wyena Street (Cnr Clara & Wyena St), Camp Hill QLD 4152",camphill@myfootdr.com.au,07 3035 3900,"Supramalleolar Orthotics (SMOs), Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Fungal Nail Infection Laser Treatment, Diabetes and Footcare, Custom Footwear, NDIS, CAM Walker (Moon Boot), Custom Cricket Shoes, Cosmetic Nail Restoration, Shockwave Therapy, Footwear, Cobra9 Cycling Orthotics, Paraffin Wax Bath Treatment, Cryotherapy For Plantar Warts, SWIFT Microwave Wart Therapy, Ankle-Foot Orthoses"
My FootDr Cleveland,"Suite 5 & 6, Trinity Chambers, Cnr Waterloo & Middle Streets, Cleveland QLD 4163",cleveland@myfootdr.com.au,07 3479 9200,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Fungal Nail Infection Laser Treatment, Diabetes and Footcare, Custom Footwear, NDIS, CAM Walker (Moon Boot), Cosmetic Nail Restoration, Shockwave Therapy, Footwear, Cryotherapy For Plantar Warts"
My FootDr Fortitude Valley,"2/455A Brunswick Street, Fortitude Valley QLD 4006",fortitudevalley@myfootdr.com.au,07 3640 6100,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Fungal Nail Infection Laser Treatment, Diabetes and Footcare, Custom Footwear, NDIS, CAM Walker (Moon Boot), Cosmetic Nail Restoration, Shockwave Therapy, Paraffin Wax Bath Treatment, Cryotherapy For Plantar Warts"
My FootDr Gumdale,"Eastside Village Shopping Centre, Shop 20, Cnr New Cleveland & Tilley Roads, Gumdale QLD 4154",gumdale@myfootdr.com.au,07 3917 2700,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, Custom Footwear, NDIS, CAM Walker (Moon Boot), Cosmetic Nail Restoration, Shockwave Therapy, Paraffin Wax Bath Treatment, Cryotherapy For Plantar Warts"
My FootDr Indooroopilly,"56B Coonan Street, Indooroopilly QLD 4068",indooroopilly@myfootdr.com.au,07 3720 6200,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Fungal Nail Infection Laser Treatment, Diabetes and Footcare, Custom Footwear, NDIS, CAM Walker (Moon Boot), Cosmetic Nail Restoration, Shockwave Therapy, Footwear, Paraffin Wax Bath Treatment"
My FootDr Ipswich,"Physioactive, 57 Thorn Street, Ipswich QLD 4305",ipswich@myfootdr.com.au,07 3281 8876,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
My FootDr Jindalee,"Allsports Physiotherapy, Shop 28, 34 Goggs Road, Jindalee QLD 4074",jindalee@myfootdr.com.au,07 3279 3752,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
