Name of Clinic,Address,Email,Phone,Services
Allsports Podiatry Albany Creek,"Albany Creek Leisure Centre, Cnr Old Northern Rd & Explorer Drive, Albany Creek QLD 4035",albanycreek@allsportspodiatry.com.au,07 3264 5159,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, Seniors Footcare, Sports Podiatry, Paediatric Assessments, Footwear Assessments, General Podiatry Care"
Allsports Podiatry Aspley,"2/1370 Gympie Road, Aspley QLD 4034",aspley@allsportspodiatry.com.au,07 3378 0135,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, Seniors Footcare, Sports Podiatry, Paediatric Assessments"
Allsports Podiatry Calamvale,"Cnr Kameruka Street & Beaudesert Road, Calamvale QLD 4116",calamvale@allsportspodiatry.com.au,07 3272 5230,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, Seniors Footcare, Sports Podiatry, Paediatric Assessments"
Allsports Podiatry Camp Hill,"448 Old Cleveland Road, Camp Hill QLD 4152",camphill@allsportspodiatry.com.au,07 3395 3777,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, Seniors Footcare, Sports Podiatry, Paediatric Assessments"
Allsports Podiatry Forest Lake,"The Tower Medical Centre, 241 Forest Lake Boulevard, Forest Lake QLD 4078",forestlake@allsportspodiatry.com.au,07 3278 8544,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, Seniors Footcare, Sports Podiatry, Paediatric Assessments"
Allsports Podiatry Hawthorne,"Brisbane Sports & Exercise Medicine Specialists, 87 Riding Road, Hawthorne QLD 4171",hawthorne@allsportspodiatry.com.au,(07) 3899 0659,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, Seniors Footcare, Sports Podiatry, Paediatric Assessments"
Allsports Podiatry Indooroopilly,"56 Coonan St (Cnr of Keating & Coonan St), Indooroopilly QLD 4068",indooroopilly@allsportspodiatry.com.au,07 3878 9011,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, Seniors Footcare, Sports Podiatry, Paediatric Assessments"
Allsports Podiatry Kangaroo Point,"Level 2, Suite 5, 22 Baildon Street, Kangaroo Point QLD 4169",kangaroopoint@allsportspodiatry.com.au,07 3392 3020,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, Seniors Footcare, Sports Podiatry, Paediatric Assessments"
Allsports Podiatry Red Hill,"The Red Hill Centre, 11/152 Musgrave Road, Red Hill QLD 4059",redhill@allsportspodiatry.com.au,07 3217 5955,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, Seniors Footcare, Sports Podiatry, Paediatric Assessments"
Allsports Podiatry The Gap,"970 Waterworks Rd, The Gap QLD 4061",thegap@allsportspodiatry.com.au,07 3300 6011,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, Seniors Footcare, Sports Podiatry, Paediatric Assessments"
